[15:16:25.313] | INFO  | main                             | YandexComp                       | Open : + ChromeDriver: chrome on MAC (1e0223ac343874ccab41fee7b49c5c04)
[15:16:27.653] | INFO  | main                             | YandexComp                       | Открыта страница отус
[15:16:27.687] | INFO  | main                             | YandexComp                       | Онлайн‑курсы для профессионалов, дистанционное обучение современным профессиям
[15:16:27.793] | INFO  | main                             | YandexComp                       | ddddddd
[15:17:00.077] | INFO  | main                             | YandexComp                       | Open : + ChromeDriver: chrome on MAC (3ce4b36dd4a410a039136cdf63e11918)
[15:17:02.454] | INFO  | main                             | YandexComp                       | Открыта страница отус
[15:17:02.559] | INFO  | main                             | YandexComp                       | Онлайн‑курсы для профессионалов, дистанционное обучение современным профессиям
[15:17:02.666] | INFO  | main                             | YandexComp                       | ddddddd
[15:17:32.433] | INFO  | main                             | YandexComp                       | Open driver: ChromeDriver: chrome on MAC (6c9befd30d9ba54b5148e4035c471d1a)
[15:17:35.511] | INFO  | main                             | YandexComp                       | Открыта страница отус
[15:17:35.553] | INFO  | main                             | YandexComp                       | Онлайн‑курсы для профессионалов, дистанционное обучение современным профессиям
[15:17:35.667] | INFO  | main                             | YandexComp                       | ddddddd
[15:20:53.820] | INFO  | main                             | YandexComp                       | Initialized driver: null
[15:20:56.145] | INFO  | main                             | YandexComp                       | Driver ChromeDriver: chrome on MAC (8a7eaeda206fac76ea9def9d5a144ea8)start
[15:20:59.020] | INFO  | main                             | YandexComp                       | Открыта страница отус
[15:20:59.132] | INFO  | main                             | YandexComp                       | Онлайн‑курсы для профессионалов, дистанционное обучение современным профессиям
[15:20:59.235] | INFO  | main                             | YandexComp                       | ddddddd
[15:24:21.763] | INFO  | main                             | YandexComp                       | Initialized driver: null
[15:24:24.024] | INFO  | main                             | YandexComp                       | Started - ChromeDriver: chrome on MAC (82ccff54c6c76dcaff7ddbaac030b370)
[15:24:26.378] | INFO  | main                             | YandexComp                       | Открыта страница отус
[15:24:26.436] | INFO  | main                             | YandexComp                       | Онлайн‑курсы для профессионалов, дистанционное обучение современным профессиям
[15:24:26.551] | INFO  | main                             | YandexComp                       | ddddddd
[15:25:28.772] | INFO  | main                             | YandexComp                       | Initialized driver
[15:25:31.130] | INFO  | main                             | YandexComp                       | Started - ChromeDriver: chrome on MAC (b48d1b11aadfb05e1a4783681855a721)
[15:25:33.505] | INFO  | main                             | YandexComp                       | Открыта страница отус
